300 500
210 118 89
248 0 0 4
143 181 1 16
276 77 0 5
3 253 1 24
216 99 1 11
198 182 0 9
194 192 0 19
182 119 0 28
123 157 1 4
197 105 0 13
48 92 1 12
19 103 1 26
120 294 0 27
246 92 1 29
103 217 0 15
280 209 0 1
227 79 0 23
272 140 0 4
108 173 0 17
239 273 0 8
225 71 0 27
40 191 1 28
58 232 0 25
31 77 0 22
178 166 1 9
181 245 0 23
126 59 1 27
264 96 1 4
95 289 0 14
254 208 0 7
252 4 0 22
68 17 1 4
290 133 1 0
86 35 0 27
177 162 0 20
180 77 0 7
113 30 0 3
13 272 0 21
115 141 0 24
212 149 0 29
181 98 0 7
2 23 0 16
154 163 0 20
284 109 0 8
234 284 0 13
129 231 0 5
266 170 1 15
161 252 0 21
233 184 0 0
98 55 0 6
2 62 0 28
52 25 0 4
61 267 0 0
263 269 0 6
279 17 0 15
244 134 0 26
193 175 0 19
289 89 1 10
34 128 1 3
285 162 1 29
13 147 0 3
163 88 1 24
247 83 0 17
224 244 0 4
236 87 0 3
21 28 0 14
207 107 1 28
239 3 1 19
94 198 1 12
105 208 1 28
126 18 0 11
9 239 1 23
173 12 0 5
158 229 1 21
76 277 1 1
130 235 1 21
57 128 0 1
4 13 1 6
193 272 0 15
54 1 0 10
85 50 1 15
270 91 1 0
212 54 0 15
93 78 1 22
146 292 1 27
99 226 1 1
213 129 0 17
256 273 0 17
277 291 0 12
87 146 0 4
2 143 1 26
177 141 1 11
292 46 0 13
27 225 0 20
139 108 1 1
217 133 0 6
243 129 1 20
202 82 0 18
158 166 0 14
233 73 0 19
111 222 1 18
148 0 1 29
4 182 1 14
182 123 1 19
247 179 0 23
57 43 1 2
1 299 0 0
48 265 1 24
17 84 1 20
12 19 0 6
221 159 1 5
262 238 0 27
140 228 0 12
53 257 0 24
275 58 0 14
69 155 1 6
74 223 0 17
42 113 1 7
156 90 0 4
34 99 1 8
71 132 0 7
152 23 0 22
265 184 0 9
286 53 0 3
3 212 1 26
158 110 0 23
90 180 0 4
74 86 0 22
154 8 1 7
93 64 1 2
275 257 1 26
223 251 1 9
243 255 0 5
277 160 0 17
26 195 0 22
45 62 1 17
30 67 0 14
242 79 1 1
241 215 1 18
38 267 0 10
53 136 0 26
81 144 0 19
95 66 0 7
41 164 1 7
255 142 0 6
30 44 1 15
213 200 1 4
136 78 1 15
117 178 0 24
164 291 1 10
135 215 1 15
152 260 1 16
55 111 1 17
298 51 1 4
28 145 1 4
125 211 0 11
141 183 1 22
269 114 0 24
271 199 0 20
61 57 0 19
142 134 1 17
185 189 0 17
4 171 0 21
237 185 1 29
256 53 0 1
83 85 0 24
84 243 1 0
148 59 1 4
67 160 1 8
127 220 1 24
151 172 1 11
210 46 1 18
178 56 1 8
73 201 0 27
178 281 0 3
44 83 0 10
292 227 0 5
150 291 1 12
25 150 1 17
272 106 1 3
46 244 1 16
113 181 0 5
251 203 1 24
53 118 0 14
134 37 0 17
102 72 0 29
91 78 0 9
134 43 1 1
261 71 0 18
120 163 1 15
138 243 0 1
62 202 1 5
36 131 1 12
73 26 0 29
231 150 1 2
222 117 1 6
179 48 0 25
9 233 1 21
287 218 1 8
289 296 0 27
87 118 1 14
3 77 1 4
45 199 0 27
224 140 1 27
263 40 0 29
195 52 0 21
297 273 0 28
59 185 0 14
63 183 1 3
200 160 1 15
54 214 0 11
5 281 1 15
90 189 0 18
243 203 1 4
77 22 0 1
188 7 1 25
156 188 0 26
65 176 1 6
214 160 1 23
143 284 1 9
145 18 1 0
147 277 1 2
140 73 0 7
280 31 0 4
241 117 0 19
218 176 1 22
109 236 1 9
154 76 0 7
188 107 0 10
220 270 0 10
7 264 1 12
250 116 1 7
122 271 0 0
3 5 0 9
77 299 0 14
259 53 1 11
183 41 0 10
150 296 0 19
283 263 1 23
53 24 1 22
275 71 1 0
131 246 1 18
220 80 1 0
146 287 1 15
189 56 1 2
258 157 1 8
101 162 0 21
14 12 0 27
246 24 1 21
208 62 0 13
176 107 0 19
281 99 1 4
91 283 0 25
78 164 0 19
284 47 0 2
185 106 0 4
93 258 1 5
63 100 1 0
83 34 1 11
16 98 1 24
26 50 1 20
160 251 0 12
272 126 0 29
93 129 0 22
288 41 0 16
30 272 0 4
295 273 1 9
83 171 1 11
67 268 0 10
214 92 0 29
101 49 1 14
3 223 1 17
171 135 1 7
159 245 1 11
184 137 0 29
245 247 1 13
274 97 0 23
288 196 1 12
126 228 1 7
72 111 1 3
9 223 0 1
250 23 1 2
164 199 1 15
73 176 1 23
257 199 0 26
275 85 0 22
229 6 0 4
298 296 1 4
230 79 1 27
55 201 1 2
120 115 1 3
288 35 0 5
263 297 1 9
271 152 0 17
138 5 1 13
182 201 1 20
51 217 0 28
77 217 1 19
278 271 0 12
151 197 1 17
194 112 1 6
144 65 0 5
269 133 0 24
85 226 1 7
152 107 1 20
271 10 0 13
118 198 0 7
276 242 0 26
109 243 0 6
38 241 0 1
59 104 1 19
234 6 1 28
281 32 0 22
58 289 0 11
12 228 1 26
266 189 1 7
82 170 1 5
139 14 1 15
53 201 0 6
50 93 0 15
122 256 0 28
263 91 0 13
104 51 0 17
173 291 0 28
149 40 0 5
76 202 1 26
57 111 1 11
59 19 1 16
220 286 0 15
150 287 1 4
159 89 1 11
234 182 1 27
48 288 1 27
92 85 1 23
213 269 1 18
157 20 1 3
111 274 1 2
130 18 0 28
209 203 0 26
200 2 1 8
199 211 1 5
146 140 1 15
151 209 1 10
115 264 1 16
253 239 1 22
79 288 0 1
96 181 0 9
211 224 0 21
190 110 1 1
1 227 1 4
12 197 1 9
168 54 0 14
281 250 0 27
20 129 1 20
203 44 1 0
261 197 1 14
214 103 0 20
36 140 1 14
242 246 0 28
221 234 1 5
18 179 1 26
194 262 0 1
289 69 1 21
94 275 1 2
83 278 1 10
242 82 0 6
114 21 0 27
137 266 1 10
91 73 0 29
224 288 1 3
179 84 0 21
11 73 1 15
191 245 1 15
167 277 0 8
131 253 0 29
255 83 0 24
14 46 1 24
42 178 0 25
148 172 0 24
219 245 0 8
27 32 0 10
283 6 0 2
149 241 1 3
212 66 1 10
181 188 0 11
217 234 1 26
158 173 0 9
280 160 0 10
